epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,952.785,1.1811,1.37531,1.13493,0.72335,0.63729,0.71595,0.41972,1.38456,1.32747,1.27703,0.00220055,0.000733518,0.00220055,0.000733518,0.00220055,0.000733518,0.00220055,0.000733518
41,980.07,1.15889,1.3507,1.12581,0.73646,0.64365,0.71067,0.41913,1.38503,1.3312,1.28304,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
42,1003.18,1.16414,1.37878,1.13747,0.73076,0.66263,0.70959,0.41992,1.38272,1.31258,1.27353,0.00217356,0.000724518,0.00217356,0.000724518,0.00217356,0.000724518,0.00217356,0.000724518
43,1027.62,1.1725,1.35601,1.13795,0.7407,0.64891,0.72018,0.42704,1.38733,1.29838,1.27739,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
44,1049.99,1.15773,1.3679,1.12476,0.72717,0.66108,0.71976,0.42458,1.38902,1.29972,1.27676,0.00214656,0.000715519,0.00214656,0.000715519,0.00214656,0.000715519,0.00214656,0.000715519
45,1073.46,1.13257,1.31648,1.11756,0.79267,0.62733,0.71983,0.41845,1.39089,1.30323,1.27774,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
46,1096.06,1.11171,1.26783,1.11004,0.77238,0.63095,0.71731,0.4266,1.3875,1.30786,1.2868,0.00211956,0.00070652,0.00211956,0.00070652,0.00211956,0.00070652,0.00211956,0.00070652
47,1118.95,1.14403,1.2873,1.12106,0.78425,0.6268,0.72352,0.42943,1.39722,1.27781,1.27941,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
48,1142.81,1.12696,1.28015,1.11013,0.77859,0.65524,0.72355,0.4355,1.38639,1.26958,1.26801,0.00209256,0.000697521,0.00209256,0.000697521,0.00209256,0.000697521,0.00209256,0.000697521
49,1165.16,1.13538,1.2829,1.10663,0.77057,0.66103,0.72641,0.43591,1.39385,1.28653,1.27372,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
50,1188.6,1.10667,1.27079,1.10873,0.78087,0.63719,0.72462,0.43304,1.39614,1.24601,1.278,0.00206557,0.000688522,0.00206557,0.000688522,0.00206557,0.000688522,0.00206557,0.000688522
51,1212.03,1.13587,1.28667,1.11236,0.78608,0.63843,0.72294,0.4313,1.40301,1.25849,1.27937,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
52,1237.41,1.13056,1.26272,1.11002,0.74347,0.64711,0.71797,0.4278,1.39609,1.26769,1.27399,0.00203857,0.000679523,0.00203857,0.000679523,0.00203857,0.000679523,0.00203857,0.000679523
